species	NCBI.taxid	mass_kg	mass_db	lifespan_days	lifespan_db	length_cm	length_db	polymorphism_derived_Ne
Corvus_cornix	181096	0.5445	AnAge	6132	AnAge;EOL	46	BirdFacts	NA
Corvus_hawaiiensis	134902	0.52	AnAge;EOL	9125	AnAge;EOL	NA	NA	NA
Corvus_kubaryi	68294	0.27	EOL	NA	NA	NA	NA	NA
Corvus_moneduloides	1196302	0.249	EOL	NA	NA	NA	NA	NA
Coryphaenoides_rupestris	163118	1.7	fishbase	19710	AnAge;EOL;fishbase	110	EOL;fishbase	NA
Corythaeola_cristata	103954	1.231	EOL	NA	NA	NA	NA	NA
Corythaixoides_concolor	103956	0.35	EOL	NA	NA	NA	NA	NA
Cottoperca_gobio	56716	NA	NA	NA	NA	80	EOL;fishbase	NA
Coturnix_japonica	93934	0.115	AnAge;ADW	2190	AnAge;ADW	NA	NA	459553.000849802
Crassostrea_gigas	29159	0.232	EOL	2555	AnAge	15.3	EOL	NA
Crassostrea_virginica	6565	2.88	EOL	1825	AnAge	28.3	EOL	NA
Cricetulus_griseus	10029	NA	NA	1934.5	EOL Cricetulus barabensis	NA	NA	NA
Crocodylus_porosus	8502	1200	ADW	20805	AnAge	700	ADW text	NA
Crocuta_crocuta	9678	80	ADW	15001.5	AnAge;ADW	150	ADW	NA
Crotalus_adamanteus	8729	7	ADW	8322	AnAge;EOL	240	ADW	NA
Crotalus_tigris	88082	0.454	ADW	5584.5	AnAge	91	ADW	NA
Cryptotermes_secundus	105785	NA	NA	4745	Monroy 2019	0.6	Korb, 2010	NA
Crypturellus_soui	458187	0.268	EOL	NA	NA	NA	NA	NA
Crypturellus_undulatus	48396	0.569	EOL	NA	NA	NA	NA	NA
Ctenocephalides_felis	7515	NA	NA	1095	ADW	0.2	ADW	NA
Ctenopharyngodon_idella	7959	45	fishbase	7665	AnAge;EOL;fishbase	150	EOL;fishbase	NA
Cuculus_canorus	55661	0.13	ADW format	4708.5	AnAge;ADW	34	ADW format	NA
Cyanistes_caeruleus	156563	0.0103	AnAge;EOL	5329	AnAge;EOL	12	BirdFacts	177578.915544344
Cyclopterus_lumpus	8103	9.5	fishbase	4745	EOL;fishbase	61	EOL;fishbase	NA
Cygnus_atratus	8868	8.75	ADW text	14600	ADW	140	ADW	NA
Cygnus_olor	8869	14.3	ADW	14600	AnAge;ADW	158	ADW	NA
Cynoglossus_semilaevis	244447	0.25	Lynch et al. 2023	NA	NA	61.1	EOL;fishbase	202499.691265408
Cyprinodon_tularosa	77115	NA	NA	1825	AnAge;EOL;fishbase	5	EOL;fishbase	NA
Cyprinodon_variegatus	28743	NA	NA	NA	NA	9	EOL;fishbase	NA
Cyprinus_carpio	7962	40.1	fishbase	17155	ADW;AnAge	120	EOL;fishbase	NA
Dallia_pectoralis	75939	0.366	fishbase	2920	AnAge;EOL;fishbase	33	EOL;fishbase	NA
Danio_aesculapii	1142201	NA	NA	NA	NA	3	EOL;fishbase	NA
Danio_rerio	7955	NA	NA	2007.5	AnAge	6.4	ADW	NA
Danionella_translucida	623744	NA	NA	NA	NA	1.2	fishbase;EOL	NA
Daphnia_galeata	27404	0.000000007400516	Lynch et al. 2023	NA	NA	0.233	EOL	3115914.73773481
Daphnia_magna	35525	0.0000001633943	Lynch et al. 2023	56	ADW	0.59	EOL	424900.290065265
Daphnia_pulex	6669	0.00000002223609	Lynch et al. 2023	NA	NA	0.35	EOL	1494285.89485586
Daphnia_pulicaria	35523	NA	NA	69.35	AnAge	0.175	EOL	NA
Daphoenositta_chrysoptera	254528	0.0145	EOL	2518.5	AnAge	NA	NA	NA
Dasyornis_broadbenti	243059	0.0745	EOL	NA	NA	NA	NA	NA
Dasypus_novemcinctus	9361	7.7	ADW	8395	ADW	80	ADW	NA
Delphinapterus_leucas	9749	1600	ADW	21900	ADW	700	ADW	NA
Dendroctonus_ponderosae	77166	NA	NA	730	ADW	0.75	ADW;EOL	NA
Denticeps_clupeoides	299321	NA	NA	NA	NA	15	fishbase;EOL	NA
Dermacentor_andersoni	34620	0.0007	ADW	1460	ADW	1.65	ADW	NA
Dermochelys_coriacea	27794	900	ADW	10950	ADW;AnAge	213	ADW text	NA
Desmodus_rotundus	9430	0.05	ADW	10658	AnAge	9	ADW	NA
Diabrotica_balteata	107213	NA	NA	NA	NA	0.52	EOL	NA
Diabrotica_virgifera	50389	NA	NA	NA	NA	0.6	EOL image	NA
Diachasma_alloeum	454923	NA	NA	NA	NA	0.4	EOL image	NA
Diaphorina_citri	121845	NA	NA	NA	NA	0.3	EOL image	NA
Dibothriocephalus_latus	60516	NA	NA	NA	NA	2500	EOL	NA
Dicaeum_eximium	667154	0.0095	EOL	NA	NA	NA	NA	NA
Dicentrarchus_labrax	13489	12	fishbase	10950	fishbase;EOL	110	EOL	NA
Dicrocoelium_dendriticum	57078	NA	NA	NA	NA	1	ADW	NA
Dicrurus_megarhynchus	450177	0.13	EOL	NA	NA	NA	NA	NA
Dictyocaulus_viviparus	29172	NA	NA	NA	NA	8	EOL	NA
Dinoponera_quadriceps	609295	NA	NA	NA	NA	2.5	EOL image	NA
Dipodomys_ordii	10020	0.096	ADW	3613.5	AnAge	36.5	ADW	NA
